Country or Area,Sex,Literacy,Population,Age
Albania,Male,Total,158164.0,<15
Albania,Male,Literate,150780.0,<15
Albania,Male,Illiterate,7384.0,<15
Albania,Male,Total,1358924.0,<15
Albania,Male,Literate,1341995.0,<15
Albania,Male,Illiterate,16929.0,<15
Albania,Male,Total,99214.0,<15
Albania,Male,Literate,98549.0,<15
Albania,Male,Illiterate,665.0,<15
Albania,Male,Total,177379.0,15-59
Albania,Male,Literate,176262.0,15-59
Albania,Male,Illiterate,1117.0,15-59
Albania,Male,Total,111143.0,15-59
Albania,Male,Literate,110448.0,15-59
Albania,Male,Illiterate,695.0,15-59
Albania,Male,Total,101942.0,15-59
Albania,Male,Literate,101388.0,15-59
Albania,Male,Illiterate,554.0,15-59
Albania,Male,Total,104542.0,15-59
Albania,Male,Literate,104088.0,15-59
Albania,Male,Illiterate,454.0,15-59
Albania,Male,Total,108516.0,15-59
Albania,Male,Literate,108174.0,15-59
Albania,Male,Illiterate,342.0,15-59
Albania,Male,Total,108701.0,15-59
Albania,Male,Literate,108382.0,15-59
Albania,Male,Illiterate,319.0,15-59
Albania,Male,Total,87753.0,15-59
Albania,Male,Literate,87511.0,15-59
Albania,Male,Illiterate,242.0,15-59
Albania,Male,Total,73856.0,15-59
Albania,Male,Literate,73598.0,15-59
Albania,Male,Illiterate,258.0,15-59
Albania,Male,Total,61754.0,15-59
Albania,Male,Literate,61463.0,15-59
Albania,Male,Illiterate,291.0,15-59
Albania,Male,Total,57859.0,>60
Albania,Male,Literate,57342.0,>60
Albania,Male,Illiterate,517.0,>60
Albania,Male,Total,45222.0,>60
Albania,Male,Literate,44331.0,>60
Albania,Male,Illiterate,891.0,>60
Albania,Male,Total,31835.0,>60
Albania,Male,Literate,30716.0,>60
Albania,Male,Illiterate,1119.0,>60
Albania,Male,Total,31044.0,>60
Albania,Male,Literate,28963.0,>60
Albania,Male,Illiterate,2081.0,>60
Albania,Female,Total,150915.0,<15
Albania,Female,Literate,144346.0,<15
Albania,Female,Illiterate,6569.0,<15
Albania,Female,Total,1378690.0,<15
Albania,Female,Literate,1352128.0,<15
Albania,Female,Illiterate,26562.0,<15
Albania,Female,Total,94963.0,<15
Albania,Female,Literate,94383.0,<15
Albania,Female,Illiterate,580.0,<15
Albania,Female,Total,181828.0,15-59
Albania,Female,Literate,180900.0,15-59
Albania,Female,Illiterate,928.0,15-59
Albania,Female,Total,120969.0,15-59
Albania,Female,Literate,120371.0,15-59
Albania,Female,Illiterate,598.0,15-59
Albania,Female,Total,111067.0,15-59
Albania,Female,Literate,110551.0,15-59
Albania,Female,Illiterate,516.0,15-59
Albania,Female,Total,111704.0,15-59
Albania,Female,Literate,111281.0,15-59
Albania,Female,Illiterate,423.0,15-59
Albania,Female,Total,110707.0,15-59
Albania,Female,Literate,110342.0,15-59
Albania,Female,Illiterate,365.0,15-59
Albania,Female,Total,106411.0,15-59
Albania,Female,Literate,106013.0,15-59
Albania,Female,Illiterate,398.0,15-59
Albania,Female,Total,83340.0,15-59
Albania,Female,Literate,82954.0,15-59
Albania,Female,Illiterate,386.0,15-59
Albania,Female,Total,69733.0,15-59
Albania,Female,Literate,69247.0,15-59
Albania,Female,Illiterate,486.0,15-59
Albania,Female,Total,58381.0,15-59
Albania,Female,Literate,57495.0,15-59
Albania,Female,Illiterate,886.0,15-59
Albania,Female,Total,55410.0,>60
Albania,Female,Literate,53684.0,>60
Albania,Female,Illiterate,1726.0,>60
Albania,Female,Total,42384.0,>60
Albania,Female,Literate,39556.0,>60
Albania,Female,Illiterate,2828.0,>60
Albania,Female,Total,33624.0,>60
Albania,Female,Literate,30281.0,>60
Albania,Female,Illiterate,3343.0,>60
Albania,Female,Total,47254.0,>60
Albania,Female,Literate,40724.0,>60
Albania,Female,Illiterate,6530.0,>60
Albania,Male,Total,60176.0,<15
Albania,Male,Literate,57460.0,<15
Albania,Male,Illiterate,2716.0,<15
Albania,Male,Total,574379.0,<15
Albania,Male,Literate,568618.0,<15
Albania,Male,Illiterate,5761.0,<15
Albania,Male,Total,38157.0,<15
Albania,Male,Literate,37914.0,<15
Albania,Male,Illiterate,243.0,<15
Albania,Male,Total,67998.0,15-59
Albania,Male,Literate,67560.0,15-59
Albania,Male,Illiterate,438.0,15-59
Albania,Male,Total,40944.0,15-59
Albania,Male,Literate,40691.0,15-59
Albania,Male,Illiterate,253.0,15-59
Albania,Male,Total,38559.0,15-59
Albania,Male,Literate,38338.0,15-59
Albania,Male,Illiterate,221.0,15-59
Albania,Male,Total,44107.0,15-59
Albania,Male,Literate,43893.0,15-59
Albania,Male,Illiterate,214.0,15-59
Albania,Male,Total,48673.0,15-59
Albania,Male,Literate,48515.0,15-59
Albania,Male,Illiterate,158.0,15-59
Albania,Male,Total,52247.0,15-59
Albania,Male,Literate,52096.0,15-59
Albania,Male,Illiterate,151.0,15-59
Albania,Male,Total,44183.0,15-59
Albania,Male,Literate,44063.0,15-59
Albania,Male,Illiterate,120.0,15-59
Albania,Male,Total,36228.0,15-59
Albania,Male,Literate,36129.0,15-59
Albania,Male,Illiterate,99.0,15-59
Albania,Male,Total,27534.0,15-59
Albania,Male,Literate,27443.0,15-59
Albania,Male,Illiterate,91.0,15-59
Albania,Male,Total,26514.0,>60
Albania,Male,Literate,26394.0,>60
Albania,Male,Illiterate,120.0,>60
Albania,Male,Total,20801.0,>60
Albania,Male,Literate,20605.0,>60
Albania,Male,Illiterate,196.0,>60
Albania,Male,Total,14696.0,>60
Albania,Male,Literate,14460.0,>60
Albania,Male,Illiterate,236.0,>60
Albania,Male,Total,13562.0,>60
Albania,Male,Literate,13057.0,>60
Albania,Male,Illiterate,505.0,>60
Albania,Female,Total,57452.0,<15
Albania,Female,Literate,55003.0,<15
Albania,Female,Illiterate,2449.0,<15
Albania,Female,Total,595715.0,<15
Albania,Female,Literate,586983.0,<15
Albania,Female,Illiterate,8732.0,<15
Albania,Female,Total,36680.0,<15
Albania,Female,Literate,36439.0,<15
Albania,Female,Illiterate,241.0,<15
Albania,Female,Total,69401.0,15-59
Albania,Female,Literate,69027.0,15-59
Albania,Female,Illiterate,374.0,15-59
Albania,Female,Total,47177.0,15-59
Albania,Female,Literate,46927.0,15-59
Albania,Female,Illiterate,250.0,15-59
Albania,Female,Total,46921.0,15-59
Albania,Female,Literate,46682.0,15-59
Albania,Female,Illiterate,239.0,15-59
Albania,Female,Total,49976.0,15-59
Albania,Female,Literate,49792.0,15-59
Albania,Female,Illiterate,184.0,15-59
Albania,Female,Total,51348.0,15-59
Albania,Female,Literate,51168.0,15-59
Albania,Female,Illiterate,180.0,15-59
Albania,Female,Total,51212.0,15-59
Albania,Female,Literate,51045.0,15-59
Albania,Female,Illiterate,167.0,15-59
Albania,Female,Total,43207.0,15-59
