"country","gender","age","employed","unemployed","economically_active_population","not_economically_active_population","attending_school","not_attending_school","literate","illiterate","population","population_<15","population_>60","population_15_59"
"Albania","Female","15-59","294458","122033","416491","623460","0","0","0","0","1039951",NULL,NULL,"1039951"
"Albania","Female",">60","5236","1722","6958","223705","0","0","0","0","230663",NULL,"230663",NULL
"Albania","Male","15-59","468212","178668","646880","381826","0","0","0","0","1028706",NULL,NULL,"1028706"
"Albania","Male",">60","34556","8253","42809","174729","0","0","0","0","217538",NULL,"217538",NULL
"Andorra","Female","15-59","0","0","0","0","0","0","0","0","0",NULL,NULL,"0"
"Andorra","Female","<15","0","0","0","0","0","0","0","0","0","0",NULL,NULL
"Andorra","Male","15-59","0","0","0","0","0","0","0","0","0",NULL,NULL,"0"
"Andorra","Male","<15","0","0","0","0","0","0","0","0","0","0",NULL,NULL
"Anguilla","Female","15-59","2528","188","2716","847","0","0","0","0","3563",NULL,NULL,"3563"
"Anguilla","Female","<15","0","0","0","1612","0","0","0","0","1612","1612",NULL,NULL
"Anguilla","Female",">60","102","10","112","507","0","0","0","0","619",NULL,"619",NULL
"Anguilla","Male","15-59","2828","182","3010","461","0","0","0","0","3471",NULL,NULL,"3471"
"Anguilla","Male","<15","0","0","0","1590","0","0","0","0","1590","1590",NULL,NULL
"Anguilla","Male",">60","186","26","212","332","0","0","0","0","544",NULL,"544",NULL
"Argentina","Female","15-59","6762650","665069","7427719","4749997","1841797","1566902","12114709","160618","12177716",NULL,NULL,"12177716"
"Argentina","Female","<15","0","0","0","0","3308974","78567","0","0","0","0",NULL,NULL
"Argentina","Female",">60","745475","24197","769672","2432585","0","0","2060698","81529","3202257",NULL,"3202257",NULL
"Argentina","Male","15-59","9339112","449216","9788328","1926078","1645849","1787668","11698005","195609","11714406",NULL,NULL,"11714406"
"Argentina","Male","<15","0","0","0","0","3401977","95147","0","0","0","0",NULL,NULL
"Argentina","Male",">60","1110304","36405","1146709","1237205","0","0","1719653","68268","2383914",NULL,"2383914",NULL
"Armenia","Female","15-59","657572","403546","1061118","677577","0","0","0","0","1738695",NULL,NULL,"1738695"
"Armenia","Female",">60","18939","5680","24619","57803","0","0","0","0","82422",NULL,"82422",NULL
"Armenia","Male","15-59","852527","360965","1213492","406625","0","0","0","0","1620117",NULL,NULL,"1620117"
"Armenia","Male",">60","28215","10391","38606","26278","0","0","0","0","64884",NULL,"64884",NULL
"Aruba","Female","15-59","40789.30000000035","4106.050000000005","44895.35000000036","19744.65000000001","3991","0","0","0","64640.00000000037",NULL,NULL,"64640.00000000037"
"Aruba","Female","<15","0","0","0","0","7029","0","0","0","0","0",NULL,NULL
"Aruba","Female",">60","1380.650000000002","98.95","1479.600000000002","7010.0499999999865","0","0","0","0","8489.649999999989",NULL,"8489.649999999989",NULL
"Aruba","Male","15-59","43119.000000000575","4199.350000000002","47318.35000000057","11528.74999999999","3810","0","0","0","58847.100000000566",NULL,NULL,"58847.100000000566"
"Aruba","Male","<15","0","0","0","0","7281","0","0","0","0","0",NULL,NULL
"Aruba","Male",">60","2033.2000000000007","139.1","2172.3000000000006","4512.249999999985","0","0","0","0","6684.5499999999865",NULL,"6684.5499999999865",NULL
"Australia","Female","15-59","18143417","1118116","19261533","5456548","0","0","0","0","24718081",NULL,NULL,"24718081"
"Australia","Female","<15","0","0","0","1915878","0","0","0","0","1915878","1915878",NULL,NULL
"Australia","Female",">60","1666568","56702","1723270","5703927","0","0","0","0","7427197",NULL,"7427197",NULL
"Australia","Male","15-59","19764096","1255411","21019507","3644315","0","0","0","0","24663822",NULL,NULL,"24663822"
"Australia","Male","<15","0","0","0","2021336","0","0","0","0","2021336","2021336",NULL,NULL
"Australia","Male",">60","2321674","107590","2429264","4352107","0","0","0","0","6781371",NULL,"6781371",NULL
"Austria","Female","15-59","3448541","240251","3688792","1383662","0","0","0","0","5072454",NULL,NULL,"5072454"
"Austria","Female","<15","0","0","0","1258793","0","0","0","0","1258793","1258793",NULL,NULL
"Austria","Female",">60","84100","766","84866","2035626","0","0","0","0","2120492",NULL,"2120492",NULL
"Austria","Male","15-59","4089917","258774","4348691","767035","0","0","0","0","5115726",NULL,NULL,"5115726"
"Austria","Male","<15","0","0","0","1322379","0","0","0","0","1322379","1322379",NULL,NULL
"Austria","Male",">60","128394","7573","135967","1409055","0","0","0","0","1545022",NULL,"1545022",NULL
"Azerbaijan","Female","15-59","2971493","437948","3409441","1755406","0","0","0","0","5164847",NULL,NULL,"5164847"
"Azerbaijan","Female","<15","0","0","0","984457","0","0","0","0","984457","984457",NULL,NULL
"Azerbaijan","Female",">60","63087","13393","76480","370580","0","0","0","0","447060",NULL,"447060",NULL
"Azerbaijan","Male","15-59","3780661","315918","4096579","785562","0","0","0","0","4882141",NULL,NULL,"4882141"
"Azerbaijan","Male","<15","0","0","0","1109173","0","0","0","0","1109173","1109173",NULL,NULL
"Azerbaijan","Male",">60","120360","11456","131816","240908","0","0","0","0","372724",NULL,"372724",NULL
"Bahamas","Female","15-59","0","0","0","0","14348","14507","0","0","0",NULL,NULL,"0"
"Bahamas","Female","<15","0","0","0","0","30946","771","0","0","0","0",NULL,NULL
"Bahamas","Male","15-59","0","0","0","0","12386","16440","0","0","0",NULL,NULL,"0"
"Bahamas","Male","<15","0","0","0","0","30790","827","0","0","0","0",NULL,NULL
"Bahrain","Female","15-59","381166","21801","402967","271689","0","0","307409","17600","674656",NULL,NULL,"674656"
"Bahrain","Female",">60","7669","1","7670","5478","0","0","4503","2290","13148",NULL,"13148",NULL
"Bahrain","Male","15-59","1395212","15346","1410558","97966","0","0","598863","19908","1508524",NULL,NULL,"1508524"
"Bahrain","Male",">60","22537","27","22564","3128","0","0","9379","633","25692",NULL,"25692",NULL
"Bangladesh","Female","15-59","36489388","236636","36726024","5857463","0","0","0","0","42583487",NULL,NULL,"42583487"
"Bangladesh","Female","<15","607698","15039","622737","23683147","0","0","0","0","24305884","24305884",NULL,NULL
"Bangladesh","Female",">60","3258700","6165","3264865","1779656","0","0","0","0","5044521",NULL,"5044521",NULL
"Bangladesh","Male","15-59","33774729","800400","34575129","6233764","0","0","0","0","40808893",NULL,NULL,"40808893"
"Bangladesh","Male","<15","942287","56365","998652","24577273","0","0","0","0","25575925","25575925",NULL,NULL
"Bangladesh","Male",">60","4364258","15696","4379954","1345021","0","0","0","0","5724975",NULL,"5724975",NULL
"Belarus","Female","15-59","6572442","356008","6928450","2269609","0","0","0","0","9198059",NULL,NULL,"9198059"
"Belarus","Female","<15","0","0","0","1636520","0","0","0","0","1636520","1636520",NULL,NULL
"Belarus","Female",">60","302286","8338","310624","1680662","0","0","0","0","1991286",NULL,"1991286",NULL
"Belarus","Male","15-59","6627255","462007","7089262","1674644","0","0","0","0","8763906",NULL,NULL,"8763906"
"Belarus","Male","<15","0","0","0","1724861","0","0","0","0","1724861","1724861",NULL,NULL
"Belarus","Male",">60","366235","27993","394228","959869","0","0","0","0","1354097",NULL,"1354097",NULL
"Belgium","Female","15-59","3637632","466127","4103759","2105033","0","0","0","0","6208792",NULL,NULL,"6208792"
"Belgium","Female","<15","0","0","0","1776003","0","0","0","0","1776003","1776003",NULL,NULL
"Belgium","Female",">60","80911","8548","89459","2538304","0","0","0","0","2627763",NULL,"2627763",NULL
"Belgium","Male","15-59","4491513","392766","4884279","1449814","0","0","0","0","6334093",NULL,NULL,"6334093"
"Belgium","Male","<15","0","0","0","1856753","0","0","0","0","1856753","1856753",NULL,NULL
"Belgium","Male",">60","165219","6074","171293","1878472","0","0","0","0","2049765",NULL,"2049765",NULL
"Benin","Female","15-59","2284287","27969","2312256","2003252","0","0","0","0","4315508",NULL,NULL,"4315508"
"Benin","Female","<15","373700","6870","380570","1871257","0","0","0","0","2251827","2251827",NULL,NULL
"Benin","Female",">60","191385","300","191685","252920","0","0","0","0","444605",NULL,"444605",NULL
"Benin","Male","15-59","2738080","55604","2793684","1005538","0","0","0","0","3799222",NULL,NULL,"3799222"
"Benin","Male","<15","415401","7773","423174","1948540","0","0","0","0","2371714","2371714",NULL,NULL
"Benin","Male",">60","281194","553","281747","89519","0","0","0","0","371266",NULL,"371266",NULL
"Bermuda","Female","15-59","47209","2843","50052","11466","2297","1068","0","0","61518",NULL,NULL,"61518"
"Bermuda","Female","<15","140","50","190","5733","3355","107","0","0","5923","5923",NULL,NULL
"Bermuda","Female",">60","6681","244","6925","13840","0","0","0","0","20765",NULL,"20765",NULL
"Bermuda","Male","15-59","48597","3545","52142","6529","1995","1204","0","0","58671",NULL,NULL,"58671"
"Bermuda","Male","<15","133","52","185","5685","3328","126","0","0","5870","5870",NULL,NULL
"Bermuda","Male",">60","7260","315","7575","8380","0","0","0","0","15955",NULL,"15955",NULL
"Bhutan","Female","15-59","199339","6815","206154","191297","0","0","0","0","397451",NULL,NULL,"397451"
"Bhutan","Female",">60","9150","36","9186","8035","0","0","0","0","17221",NULL,"17221",NULL
"Bhutan","Male","15-59","331840","8975","340815","116393","0","0","0","0","457208",NULL,NULL,"457208"
"Bhutan","Male",">60","13020","74","13094","4968","0","0","0","0","18062",NULL,"18062",NULL
"Bolivia (Plurinational State of)","Female","15-59","1693192","25418","1718610","1295310","0","0","0","0","3013920",NULL,NULL,"3013920"
"Bolivia (Plurinational State of)","Female",">60","203067","765","203832","264232","0","0","0","0","468064",NULL,"468064",NULL
"Bolivia (Plurinational State of)","Male","15-59","2352407","32432","2384839","606168","0","0","0","0","2991007",NULL,NULL,"2991007"
"Bolivia (Plurinational State of)","Male",">60","281260","2276","283536","124551","0","0","0","0","408087",NULL,"408087",NULL
"Botswana","Female","15-59","176563","56845","233408","262031","0","0","0","0","495439",NULL,NULL,"495439"
